Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",2,Harper,Hardcover,337,2019,2019,2020/08/17,2020/05/22,,,read,2.45 stars<br/>That was boring.,,,1,0
42973186,How to Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,"=""1612197507""","=""9781612197500""",4,Melville House Publishing,Kindle Edition,225,2019,2019,2020/08/13,2020/07/29,,,read,3.8 stars. lots of tangents but interesting tangents about performance art and philosophy. surprisingly little about technology.,,,1,0
33912808,The Embodied Mind: Cognitive Science and Human Experience (The MIT Press),Francisco J. Varela,"Varela, Francisco J.",,"=""""","=""""",0,The MIT Press,Kindle Edition,388,2017,1991,,2020/08/13,to-read,to-read (#115),to-read,,,,0,0
1044355,When You Are Engulfed in Flames,David Sedaris,"Sedaris, David",,"=""0316143472""","=""9780316143479""",0,Little Brown and Company,Hardcover,323,2008,2008,,2020/08/10,to-read,to-read (#114),to-read,,,,0,0
44587970,Rest and Be Thankful,Emma Glass,"Glass, Emma",,"=""1526601079""","=""9781526601070""",0,Bloomsbury Publishing,Hardcover,144,2020,2020,,2020/08/10,to-read,to-read (#113),to-read,,,,0,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",0,Ballantine Books,Hardcover,370,2020,2020,,2020/08/10,to-read,to-read (#112),to-read,,,,0,0
50489321,The Dead Are Arising: The Life of Malcolm X,Les Payne,"Payne, Les",Tamara Payne,"=""1631491660""","=""9781631491665""",0,"Liveright Publishing Corporation/W.W. Norton & Company, Inc.",Hardcover,612,2020,2020,,2020/08/10,to-read,to-read (#111),to-read,,,,0,0
52203768,Stranger Faces (Undelivered Lectures),Namwali Serpell,"Serpell, Namwali",,"=""1945492430""","=""9781945492433""",0,Transit Books,Paperback,140,2020,2020,,2020/08/10,to-read,to-read (#110),to-read,,,,0,0
51243985,That Time of Year,Marie NDiaye,"NDiaye, Marie",Jordan Stump,"=""1931883912""","=""9781931883917""",0,Two Lines Press,Hardcover,128,2020,1994,,2020/08/10,to-read,to-read (#109),to-read,,,,0,0
48678117,Winter Counts,David Heska Wanbli Weiden,"Weiden, David Heska Wanbli",,"=""0062968947""","=""9780062968944""",0,Ecco,Hardcover,325,2020,2020,,2020/08/10,to-read,to-read (#108),to-read,,,,0,0
